timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591775757056,1892,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-34,text,true,,2825,996,50,50,http://localhost:1080/cgi-bin/reservations.pl,1176,0,0
1591775750081,8874,Login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,6915,2576,49,49,null,0,1,0
1591775750081,2176,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-2,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,1365,0,0
1591775752257,1879,/cgi-bin/nav.pl-12,200,OK,Thread Group 1-2,text,true,,1885,587,50,50,http://localhost:1080/cgi-bin/nav.pl?in=home,1640,0,0
1591775754136,1831,/cgi-bin/login.pl-13,200,OK,Thread Group 1-2,text,true,,1035,725,50,50,http://localhost:1080/cgi-bin/login.pl,1352,0,0
1591775755967,1241,/cgi-bin/login.pl-14,200,OK,Thread Group 1-2,text,true,,1154,241,50,50,http://localhost:1080/cgi-bin/login.pl?intro=true,1042,0,0
1591775757208,1747,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-2,text,true,,1749,511,49,49,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,1223,0,0
1591775758212,753,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-29,,true,,2825,951,49,49,null,0,1,0
1591775758212,753,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-29,text,true,,2825,951,49,49,http://localhost:1080/cgi-bin/reservations.pl,667,0,0
1591775752342,6624,Login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-24,,true,,6917,2576,49,49,null,0,1,0
1591775752342,1139,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-24,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,528,0,0
1591775753481,1278,/cgi-bin/nav.pl-12,200,OK,Thread Group 1-24,text,true,,1887,587,50,50,http://localhost:1080/cgi-bin/nav.pl?in=home,1019,0,0
1591775754759,1865,/cgi-bin/login.pl-13,200,OK,Thread Group 1-24,text,true,,1035,725,50,50,http://localhost:1080/cgi-bin/login.pl,1620,0,0
1591775756624,1243,/cgi-bin/login.pl-14,200,OK,Thread Group 1-24,text,true,,1154,241,50,50,http://localhost:1080/cgi-bin/login.pl?intro=true,861,0,0
1591775757868,1099,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-24,text,true,,1749,511,49,49,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,943,0,0
1591775757524,1454,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-36,,true,,2825,996,49,49,null,0,2,0
